id_usuario,activaToken,logIns, fecha_registro, dg_1, dg_2, dg_3, dg_4, dg_5, dg_6, dg_7,dg_8, fecha_resp_DG
43161,Activo,1,13/01/2024 12:08,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43162,Activo,1,13/01/2024 13:00,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43164,Activo,1,13/01/2024 17:05,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43165,Activo,1,14/01/2024 00:10,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43178,Activo,3,14/01/2024 17:22,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43192,Activo,1,16/01/2024 15:43,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43194,Activo,1,16/01/2024 16:42,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43196,Activo,1,16/01/2024 18:43,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43197,Activo,1,16/01/2024 21:07,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43202,Activo,1,17/01/2024 11:28,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43205,Activo,1,17/01/2024 14:32,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43213,Activo,1,19/01/2024 23:57,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43220,Activo,1,20/01/2024 20:29,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43221,Activo,1,20/01/2024 21:09,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43223,Activo,1,21/01/2024 18:25,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43235,Activo,3,22/01/2024 09:50,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43240,Activo,1,22/01/2024 12:40,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43242,Activo,1,22/01/2024 15:16,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
